"id","user_id","start_date","duration_weeks","goal_1","goal_2","goal_3","goal_weight_1","goal_weight_2","goal_weight_3","split_template","days_per_week","progression_style","hybrid_definition","disciplines_json","deload_every_n_microcycles","persona_tone","persona_aggression","is_active","created_at","is_template","visibility","name","macro_cycle_id","max_session_duration"
"70","1","2026-01-20","8","STRENGTH","HYPERTROPHY","ENDURANCE","5","3","2","UPPER_LOWER","4","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 7}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 2}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 10}]","4","SUPPORTIVE","BALANCED","False","2026-01-20 22:27:00.374192","False","PRIVATE","","","60"
"71","1","2026-01-20","12","STRENGTH","ENDURANCE","FAT_LOSS","3","5","2","HYBRID","5","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 4}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 1}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 8}]","4","DRILL_SERGEANT","MODERATE_AGGRESSIVE","False","2026-01-20 22:32:09.530751","False","PRIVATE","","","60"
"72","1","2026-01-20","12","ENDURANCE","FAT_LOSS","STRENGTH","4","6","0","PPL","6","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 4}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 1}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 8}]","4","SUPPORTIVE","BALANCED","False","2026-01-20 22:33:43.506905","False","PRIVATE","","","60"
"83","1","2026-01-21","8","STRENGTH","HYPERTROPHY","ENDURANCE","5","3","2","HYBRID","4","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 4}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 1}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 8}]","4","SUPPORTIVE","BALANCED","False","2026-01-21 15:08:56.138446","False","PRIVATE","","","60"
"84","1","2026-01-21","12","STRENGTH","HYPERTROPHY","ENDURANCE","3","6","1","HYBRID","4","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 4}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 1}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 8}]","4","SUPPORTIVE","BALANCED","False","2026-01-21 15:54:39.229883","False","PRIVATE","","","60"
"73","1","2026-01-21","12","STRENGTH","ENDURANCE","FAT_LOSS","3","5","2","PPL","6","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 4}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 1}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 8}]","4","DRILL_SERGEANT","MODERATE_AGGRESSIVE","False","2026-01-20 23:42:50.185556","False","PRIVATE","","","60"
"85","1","2026-01-21","12","ENDURANCE","STRENGTH","MOBILITY","5","4","1","HYBRID","5","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 4}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 1}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 8}]","4","MOTIVATIONAL","MODERATE_AGGRESSIVE","False","2026-01-21 16:06:49.410783","False","PRIVATE","","","60"
"86","1","2026-01-21","8","STRENGTH","HYPERTROPHY","ENDURANCE","5","3","2","UPPER_LOWER","4","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 4}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 1}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 8}]","4","SUPPORTIVE","BALANCED","False","2026-01-21 16:25:18.324021","False","PRIVATE","","","60"
"87","1","2026-01-21","8","HYPERTROPHY","STRENGTH","ENDURANCE","6","4","0","HYBRID","4","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 4}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 1}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 8}]","4","SUPPORTIVE","BALANCED","False","2026-01-21 16:26:50.766313","False","PRIVATE","","","60"
"88","1","2026-01-21","8","ENDURANCE","HYPERTROPHY","STRENGTH","6","4","0","HYBRID","4","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 4}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 1}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 8}]","4","SUPPORTIVE","BALANCED","False","2026-01-21 16:26:50.843851","False","PRIVATE","","","60"
"89","1","2026-01-21","8","STRENGTH","HYPERTROPHY","ENDURANCE","5","3","2","UPPER_LOWER","4","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 4}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 1}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 8}]","4","SUPPORTIVE","BALANCED","False","2026-01-21 16:43:27.223184","False","PRIVATE","","","60"
"90","1","2026-01-21","12","ENDURANCE","STRENGTH","HYPERTROPHY","6","4","0","HYBRID","4","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 4}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 1}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 8}]","4","SUPPORTIVE","BALANCED","True","2026-01-21 16:54:05.976050","False","PRIVATE","","","60"
